Word,Frequency
tires,1
house,1
own,1
miserable,1
excellent,1
few,1
still,1
fewer,1
dissatisfied,1
confirms,1
belief,1
inconsistency,1
characters,1
dependence,1
placed,1
appearance,1
merit,1
sense,1
start,1
necessarily,1
doubting,1
god,1
wondering,1
painful,1
turn,1
follows,1
fully,1
prepared,1
travel,1
putting,1
shoes,1
christianity,1
sun,1
risen,1
dumbledore,1
sighed,1
terrible,1
therefore,1
treated,1
caution,1
awfully,1
courage,1
comforted,1
consider,1
view,1
climb,1
skin,1
wants,1
written,1
difficult,1
grown,1
ups,1
tell,1
worthy,1
sword,1
whetstone,1
edge,1
